FICE (Federal ID number),College name,State (postal code),"Type  (I, IIA, or IIB)",Average salary - full professors,Average salary - associate professors,Average salary - assistant professors,Average salary - all ranks,Average compensation - full professors,Average compensation - associate professors,Average compensation - assistant professors,Average compensation - all ranks,Number of full professors,Number of associate professors,Number of assistant professors,Number of instructors,Number of faculty - all ranks
1892,University of Iowa,IA,I,70600.0,50900.0,43200.0,57900,87200.0,64300.0,54900.0,72300,486,308,260,10,1064
1893,Upper Iowa University,IA,IIB,52414.45562671546,41639.555555555555,28700.0,30300,65348.7648673376,52379.28888888889,34800.0,36600,4,5,6,12,27
1896,Wartburg College,IA,IIB,44700.0,37000.0,30800.0,35800,56400.0,46900.0,38500.0,45100,25,21,29,4,89
1899,Teikyo Westmar University,IA,IIB,52414.45562671546,31400.0,28900.0,29200,65348.7648673376,38800.0,35500.0,35900,5,13,22,14,54
1900,William Penn College,IA,IIB,35100.0,31200.0,26900.0,29400,42000.0,38600.0,33500.0,36300,8,11,19,7,45
1616,Boise State University,ID,IIA,44800.0,39100.0,35400.0,39100,56600.0,49800.0,45300.0,49800,157,111,100,7,427
1617,Albertson Coll. of Idaho,ID,IIB,42400.0,33800.0,26600.0,33600,54000.0,43000.0,33800.0,42800,16,20,19,1,56
1620,Idaho State University,ID,IIA,46600.0,38200.0,33700.0,36800,58800.0,48700.0,43300.0,47100,128,99,113,120,460
1621,Lewis-Clark State College,ID,IIB,39100.0,32900.0,29200.0,33800,49900.0,42500.0,38100.0,43600,39,35,35,1,110
1624,Northwest Nazarene College,ID,IIB,52414.45562671546,41639.555555555555,35192.70008795075,34100,65348.7648673376,52379.28888888889,44211.257695690416,44800,0,0,0,0,71
1626,University of Idaho,ID,I,51400.0,40800.0,37300.0,43800,64000.0,51400.0,47200.0,55000,217,165,155,9,546
1633,Augustana College,IL,IIB,52700.0,42500.0,36200.0,41800,64800.0,52300.0,44900.0,51700,41,28,50,18,137
1634,Aurora University,IL,IIB,43400.0,37900.0,33900.0,37200,52800.0,46100.0,40200.0,44700,18,16,19,16,69
1635,Barat College,IL,IIB,50700.0,40500.0,33300.0,40200,59900.0,47300.0,39400.0,47400,9,9,14,0,32
1639,Blackburn University,IL,IIB,52414.45562671546,41639.555555555555,35192.70008795075,31200,65348.7648673376,52379.28888888889,44211.257695690416,37000,0,0,0,0,23
1641,Bradley University,IL,IIA,57000.0,46400.0,37800.0,44200,67900.0,56200.0,44900.0,52900,75,88,100,30,295
1664,College of Saint Francis,IL,IIB,44600.0,42200.0,34500.0,39200,55100.0,52400.0,43500.0,48900,12,15,23,0,50
1665,Columbia College,IL,IIB,52414.45562671546,41639.555555555555,35192.70008795075,34900,65348.7648673376,52379.28888888889,44211.257695690416,44600,0,0,0,0,171
1666,Concordia University,IL,IIB,39900.0,35100.0,29500.0,35100,48700.0,43500.0,37400.0,43500,30,23,24,1,78
1671,DePaul University,IL,IIA,70200.0,54300.0,42700.0,52400,85700.0,68100.0,52700.0,64800,120,173,152,55,500
1674,Eastern Illinois University,IL,IIA,44200.0,37300.0,33300.0,36400,51500.0,43800.0,39300.0,42800,190,161,120,87,560
1678,Eureka College,IL,IIB,52414.45562671546,37000.0,31500.0,35500,65348.7648673376,45800.0,39000.0,43800,5,16,16,0,37
1684,Greenville College,IL,IIB,37400.0,33100.0,29200.0,33600,46600.0,42400.0,37000.0,42200,27,11,15,4,57
1688,Illinois College,IL,IIB,52200.0,42400.0,34700.0,42400,62100.0,50300.0,41000.0,50200,16,18,14,3,51
1691,Illinois Institute of Tech.,IL,I,68000.0,48000.0,45200.0,51200,83600.0,60600.0,55800.0,63600,93,81,73,11,287
1692,Illinois State University,IL,I,54800.0,43600.0,37300.0,46000,63800.0,51400.0,44500.0,54100,289,187,244,0,720
1693,Northeastern Illinois Univ.,IL,IIA,46000.0,37800.0,35900.0,39400,52900.0,43900.0,41800.0,45500,139,88,71,0,331
1694,Chicago State University,IL,IIA,44600.0,36900.0,32000.0,34500,50900.0,42500.0,37100.0,39900,120,65,77,14,351
1696,Illinois Wesleyan University,IL,IIB,57000.0,45200.0,37400.0,44500,72900.0,59300.0,47700.0,57200,32,42,47,8,129
1700,Judson College,IL,IIB,40000.0,35800.0,30500.0,35800,48600.0,44500.0,36600.0,43800,10,12,6,1,29
1703,Kendall College,IL,IIB,52414.45562671546,35700.0,35192.70008795075,31900,65348.7648673376,42300.0,44211.257695690416,37700,1,11,3,4,19
1704,Knox College,IL,IIB,50800.0,41400.0,34200.0,43200,65000.0,51800.0,41600.0,54400,35,17,20,5,77
1706,Lake Forest College,IL,IIB,64400.0,47500.0,40200.0,49500,84300.0,65000.0,54300.0,66200,26,22,24,5,81
1707,Lewis University,IL,IIA,46700.0,39200.0,33000.0,35700,56100.0,48100.0,40700.0,43700,37,20,29,52,138
1710,Loyola Univ. of Chicago,IL,I,76100.0,53600.0,43300.0,57000,92400.0,66400.0,53600.0,70100,164,230,163,6,563
1717,MacMurray College,IL,IIB,32400.0,26300.0,25000.0,26200,39300.0,33400.0,30700.0,31800,13,9,16,31,69
1722,McKendree College,IL,IIB,43300.0,39700.0,34100.0,38100,53900.0,49300.0,40700.0,46700,16,10,16,5,47
1724,Millikin University,IL,IIB,47800.0,40900.0,31300.0,38600,58300.0,50100.0,38300.0,47200,34,38,46,6,124
1725,Monmouth College,IL,IIB,44300.0,33900.0,32500.0,38100,54400.0,41200.0,38500.0,46400,20,12,11,1,44
1733,National-Louis University,IL,IIA,49000.0,40500.0,33700.0,34800,56600.0,47200.0,39400.0,40500,20,51,120,23,253
1734,North Central College,IL,IIB,47300.0,39900.0,34800.0,39800,58800.0,50100.0,43700.0,49700,24,40,28,5,97
1735,North Park College,IL,IIB,41500.0,33700.0,28500.0,33900,54000.0,42600.0,35200.0,43100,23,18,18,2,65
1737,Northern Illinois University,IL,I,57800.0,43500.0,37500.0,44000,66700.0,50900.0,44300.0,51500,314,266,246,112,944
1739,Northwestern University,IL,I,86000.0,59600.0,49600.0,71200,104500.0,73500.0,60200.0,86800,460,209,203,0,872
1741,Olivet Nazarene University,IL,IIA,39100.0,33500.0,27800.0,32000,47600.0,41200.0,34600.0,39500,26,22,36,8,92
1744,Principia College,IL,IIB,46500.0,40000.0,34500.0,39500,57200.0,54000.0,41400.0,49000,20,9,13,7,49
1745,Quincy University,IL,IIB,37200.0,37100.0,28500.0,34500,45900.0,46200.0,35100.0,42700,18,21,14,2,55
1749,Roosevelt University,IL,IIA,48400.0,40500.0,35900.0,41600,61000.0,51700.0,46400.0,53100,50,58,42,2,152
1750,Rosary College,IL,IIB,44800.0,37800.0,37700.0,38200,54300.0,47900.0,45400.0,46800,10,25,34,3,72
1758,Southern Ill.Univ-Carbondale,IL,I,56400.0,43600.0,35900.0,42200,65700.0,51700.0,43100.0,50000,272,255,313,33,977
1759,Southern Ill.Univ-Edwardsvle,IL,IIA,53100.0,44200.0,38900.0,45300,61600.0,52000.0,46200.0,53100,168,126,95,24,421
1767,Illinois Benedictine College,IL,IIA,46300.0,39500.0,31500.0,40900,57600.0,49300.0,40300.0,51100,38,36,17,0,91
1768,Saint Xavier University,IL,IIA,55100.0,45200.0,38800.0,43900,66700.0,54800.0,47100.0,53100,22,78,53,6,159
1772,Trinity College,IL,IIB,52414.45562671546,34600.0,29100.0,32000,65348.7648673376,40600.0,34700.0,37700,5,11,13,2,31
1774,University of Chicago,IL,I,89400.0,58600.0,51500.0,74200,110400.0,72400.0,63600.0,91600,467,138,161,36,802
1775,Univ. of Illinois-Urbana,IL,I,68200.0,49300.0,42100.0,57000,78300.0,57400.0,49400.0,65900,927,520,393,1,1868
1776,Univ. of Illinois-Chicago,IL,I,65600.0,47600.0,41100.0,51300,75500.0,55500.0,48300.0,59600,401,369,296,20,1135
1780,Western Illinois University,IL,IIA,50600.0,42700.0,35000.0,42100,58700.0,50000.0,41400.0,49300,241,171,123,62,606
1781,Wheaton College,IL,IIA,51000.0,43700.0,36800.0,45200,64000.0,56900.0,46100.0,57400,67,54,32,3,156
3970,Parks Coll.of St.Louis Univ.,IL,IIB,57600.0,54000.0,39600.0,48700,69400.0,66000.0,48000.0,59100,15,12,16,4,47
9333,Sangamon State University,IL,IIA,49900.0,43700.0,37000.0,43300,59400.0,51600.0,44700.0,51600,50,62,46,5,163
1785,Anderson University,IN,IIB,41500.0,34000.0,31600.0,34700,53200.0,42700.0,38900.0,43700,43,45,36,14,138
1786,Ball State University,IN,I,51700.0,41000.0,33200.0,38400,66600.0,53700.0,43800.0,50100,297,160,350,155,965
1787,Bethel College,IN,IIB,52414.45562671546,41639.555555555555,28500.0,29500,65348.7648673376,52379.28888888889,36300.0,37600,5,4,26,1,36
1788,Butler University,IN,IIA,52100.0,44200.0,36600.0,43900,65000.0,55100.0,44700.0,54400,72,66,77,3,220
1792,DePauw University,IN,IIB,54000.0,43300.0,36100.0,45200,69500.0,57000.0,46500.0,58700,51,57,38,0,146
1793,Earlham College,IN,IIB,51400.0,39400.0,33800.0,44500,63900.0,48300.0,41400.0,55100,44,13,22,0,79
1795,University of Evansville,IN,IIA,50000.0,41500.0,35100.0,41400,60200.0,50500.0,41500.0,49600,57,43,58,4,170
1798,Franklin College of Indiana,IN,IIB,44000.0,36300.0,32500.0,38100,54900.0,45300.0,41100.0,47700,24,16,20,0,60
1799,Goshen College,IN,IIB,38800.0,34100.0,29100.0,34500,47900.0,41000.0,34400.0,41800,37,19,28,0,84
1800,Grace College,IN,IIB,32600.0,26400.0,22800.0,28500,43900.0,37200.0,33400.0,39500,14,11,6,0,31
1801,Hanover College,IN,IIB,55500.0,43700.0,37700.0,43200,68200.0,53900.0,45500.0,52400,28,16,35,13,92
1803,Huntington College,IN,IIB,43800.0,36700.0,30500.0,35800,54400.0,45500.0,37900.0,44400,11,11,13,3,38
1804,University of Indianapolis,IN,IIA,48700.0,40800.0,35800.0,38200,62000.0,51500.0,43300.0,46900,16,38,52,19,125
1808,Univ. of Southern Indiana,IN,IIA,49300.0,42100.0,37700.0,38400,63600.0,54500.0,47700.0,49100,35,38,58,50,181
1809,Indiana Univ.-Bloomington,IN,I,67400.0,47900.0,39900.0,54000,85200.0,61500.0,50700.0,68500,624,344,305,1,1361
1811,Indiana Univ.-East,IN,IIB,52414.45562671546,40500.0,32700.0,34100,65348.7648673376,52900.0,42400.0,44300,5,12,24,0,59
1812,Indiana-Purdue U.-Fort Wayne,IN,IIA,49800.0,40800.0,34000.0,38500,64800.0,53400.0,44400.0,50300,53,106,123,15,303
1813,Indiana Univ.-Indianapolis,IN,IIA,64300.0,46900.0,40500.0,46900,82000.0,60400.0,51400.0,59900,170,217,215,1,688
1814,Indiana Univ. at Kokomo,IN,IIB,51900.0,43200.0,38000.0,39700,66500.0,54800.0,48200.0,50400,13,21,29,0,81
1815,Indiana Univ.-Northwest,IN,IIA,54400.0,44600.0,35500.0,41000,69400.0,57500.0,44900.0,52200,25,63,33,0,152
1816,Indiana Univ. at South Bend,IN,IIA,54400.0,44500.0,39100.0,42000,69600.0,57100.0,49500.0,53700,32,56,57,0,175
1817,Indiana Univ.-Southeast,IN,IIA,52900.0,40800.0,36900.0,42200,67900.0,52600.0,47000.0,54000,41,24,42,0,125
1820,Manchester College,IN,IIB,41200.0,34000.0,28900.0,34000,52700.0,41600.0,34800.0,42000,24,22,17,11,74
1821,Marian College,IN,IIB,42000.0,32900.0,30300.0,33000,52000.0,41100.0,37900.0,41100,15,23,34,5,79
1822,Indiana Wesleyan University,IN,IIB,39600.0,34200.0,29400.0,33500,49200.0,43100.0,36700.0,41800,22,23,34,2,81
1824,Oakland City College,IN,IIB,52414.45562671546,28200.0,25200.0,26900,65348.7648673376,34000.0,31400.0,32800,3,11,10,4,28
1825,Purdue Univ.-Main Campus,IN,I,72100.0,48500.0,42300.0,56200,92000.0,63100.0,54800.0,72200,603,411,400,29,1443
1827,Purdue University-Calumet,IN,IIA,51900.0,41300.0,36400.0,40500,67700.0,54100.0,47900.0,53000,47,105,74,21,247
1830,Rose-Hulman Inst. of Tech.,IN,IIB,60800.0,52200.0,44700.0,54900,79700.0,67900.0,56800.0,71500,51,29,21,0,101
1832,Saint Francis College,IN,IIB,52414.45562671546,33400.0,31300.0,31600,65348.7648673376,39300.0,37100.0,37300,3,8,21,5,37
1833,Saint Joseph's College,IN,IIB,37300.0,37400.0,31200.0,34400,48600.0,47800.0,40000.0,44300,13,12,19,1,45
1834,Calumet College of St.Joseph,IN,IIB,32400.0,26400.0,23500.0,26500,42600.0,35000.0,31600.0,35300,6,6,9,2,23
1835,Saint Mary-of-the-Woods Coll,IN,IIB,30700.0,23400.0,19900.0,23200,38200.0,29500.0,24600.0,29000,11,11,18,4,44
1836,Saint Mary's College,IN,IIB,52400.0,39100.0,33100.0,38800,67500.0,50900.0,43500.0,50500,21,43,52,1,117
1837,Saint Meinrad College,IN,IIB,35700.0,41639.555555555555,35192.70008795075,33200,40500.0,52379.28888888889,44211.257695690416,37600,6,3,5,1,15
1838,Taylor University,IN,IIB,40400.0,35200.0,30000.0,35500,55500.0,48600.0,38200.0,48000,36,31,25,3,95
1839,Tri-State University,IN,IIB,39500.0,32400.0,29100.0,34000,48500.0,39500.0,35600.0,41500,23,28,10,3,64
1840,University of Notre Dame,IN,I,79800.0,56200.0,47000.0,63700,98500.0,70100.0,57300.0,78700,274,195,164,11,644
1842,Valparaiso University,IN,IIA,55900.0,42300.0,37200.0,44600,68100.0,52500.0,45900.0,54800,67,58,74,5,204
1844,Wabash College,IN,IIB,61200.0,47400.0,37100.0,50100,77000.0,60200.0,48200.0,63700,31,22,20,1,74
9563,Indiana State University,IN,I,50000.0,39400.0,34300.0,42300,64700.0,51300.0,43800.0,54500,248,133,151,16,548
1903,Baker University,KS,IIB,36900.0,31800.0,28800.0,32700,44300.0,39600.0,34600.0,39700,18,18,16,0,52
1904,Bethany College,KS,IIB,33500.0,28000.0,24800.0,28100,41500.0,36000.0,30800.0,35000,16,9,24,2,51
1905,Bethel College,KS,IIB,32500.0,28500.0,26700.0,28500,40800.0,35600.0,33600.0,35800,16,19,8,5,48
1915,Fort Hays State University,KS,IIA,44600.0,37800.0,32500.0,37700,55600.0,47500.0,41200.0,47400,84,56,71,21,232
1926,Pittsburg State University,KS,IIA,45000.0,38100.0,33100.0,37500,56700.0,48400.0,42500.0,47700,103,76,70,4,291
1927,Emporia State University,KS,IIA,43500.0,39000.0,33000.0,36700,55300.0,49900.0,42700.0,47100,67,67,78,26,238
1928,Kansas State University,KS,I,55000.0,41900.0,36800.0,44000,68600.0,53000.0,46600.0,55400,305,231,259,63,858
1929,Kansas Wesleyan University,KS,IIB,33700.0,29000.0,26500.0,29300,39400.0,34300.0,29900.0,34000,11,14,10,3,38
1933,McPherson College,KS,IIB,31800.0,27400.0,25400.0,27200,39700.0,35300.0,31300.0,34200,7,16,11,3,37
1937,Ottawa University,KS,IIB,33800.0,29200.0,26400.0,28400,41000.0,34800.0,30900.0,33800,13,12,22,8,55
1940,Southwestern College,KS,IIB,34000.0,31800.0,27800.0,31100,41500.0,38800.0,34100.0,38000,16,10,10,3,39
1943,Saint Mary College,KS,IIB,33600.0,30100.0,26100.0,28200,39000.0,35800.0,31300.0,33500,10,11,15,5,43
1946,Tabor College,KS,IIB,30400.0,41639.555555555555,22200.0,25700,38500.0,52379.28888888889,28200.0,32600,8,5,8,3,24
1948,University of Kansas-Main,KS,I,57900.0,42200.0,36700.0,48500,71400.0,52900.0,45800.0,60300,474,297,204,6,981
1949,Washburn University,KS,IIA,59400.0,43800.0,33300.0,45700,71900.0,54000.0,41600.0,56100,76,55,59,11,201
1950,Wichita State University,KS,IIA,55500.0,41700.0,36100.0,41500,67900.0,51800.0,45000.0,51400,101,154,188,24,467
7032,Mid-America Nazarene College,KS,IIB,37100.0,30500.0,26500.0,30000,45700.0,37800.0,32900.0,37200,18,12,24,6,60
10256,Benedictine College,KS,IIB,33500.0,31600.0,27800.0,29600,37400.0,36800.0,32700.0,34200,11,16,16,7,50
1954,Bellarmine College,KY,IIA,47300.0,38500.0,32600.0,39400,58300.0,48000.0,39600.0,48200,32,18,27,7,84
1955,Berea College,KY,IIB,55200.0,42800.0,35500.0,43600,67500.0,51800.0,42100.0,52500,32,43,31,6,112
1958,Brescia College,KY,IIB,52414.45562671546,32200.0,27300.0,29900,65348.7648673376,39000.0,32400.0,35700,4,10,14,4,32
1959,Campbellsville College,KY,IIB,34200.0,27800.0,25200.0,27700,42200.0,35000.0,31800.0,34700,12,11,16,7,46
1960,Spalding University,KY,IIB,35900.0,31500.0,28900.0,31300,41600.0,37000.0,33300.0,36300,15,22,26,3,66
1961,Centre College,KY,IIB,52100.0,41800.0,35100.0,43100,65300.0,51400.0,42300.0,53200,27,21,21,4,73
1962,Cumberland College,KY,IIB,35400.0,29100.0,27200.0,28600,43800.0,36200.0,33700.0,35500,17,23,32,20,97
1963,Eastern Kentucky University,KY,IIA,51900.0,43900.0,37100.0,44200,64800.0,55100.0,46800.0,55500,237,135,185,29,586
1964,Georgetown College,KY,IIB,39800.0,33800.0,29700.0,34300,49300.0,41800.0,35200.0,42000,29,18,19,6,72
1968,Kentucky State University,KY,IIB,46000.0,40300.0,32900.0,37700,57600.0,50500.0,41600.0,47400,26,35,52,5,118
1969,Kentucky Wesleyan College,KY,IIB,38300.0,32600.0,29200.0,32700,47400.0,40400.0,35800.0,40500,17,18,11,5,51
1972,Lindsey Wilson College,KY,IIB,52414.45562671546,35900.0,27800.0,29400,65348.7648673376,42700.0,33100.0,34900,2,7,11,18,38
1976,Morehead State University,KY,IIA,47800.0,39500.0,32200.0,37300,60000.0,49800.0,41000.0,47200,87,89,123,37,336
1977,Murray State University,KY,IIA,46200.0,39600.0,34200.0,38300,60100.0,52000.0,45100.0,50300,95,101,101,7,336
1980,Pikeville College,KY,IIB,35900.0,31400.0,27500.0,30400,43400.0,37700.0,33200.0,36700,8,25,15,3,51
1987,Transylvania University,KY,IIB,44700.0,39300.0,31800.0,38400,62700.0,52600.0,42400.0,52100,18,25,18,2,63
1988,Union College,KY,IIB,31400.0,28700.0,25500.0,27700,38300.0,35300.0,30400.0,33500,11,20,8,9,48
1989,University of Kentucky,KY,I,63400.0,47300.0,41800.0,52100,76000.0,57400.0,50400.0,62800,470,416,308,6,1200
1999,University of Louisville,KY,I,58400.0,44200.0,36800.0,47600,71500.0,54700.0,44900.0,58400,276,208,169,12,674
2001,Thomas More College,KY,IIB,35200.0,32400.0,27700.0,31200,43200.0,39400.0,34500.0,38200,12,30,18,1,62
2002,Western Kentucky University,KY,IIA,48500.0,40800.0,34700.0,41300,61300.0,51700.0,44200.0,52400,223,135,144,43,553
9275,Northern Kentucky University,KY,IIA,50600.0,42700.0,35000.0,38800,62300.0,52900.0,43200.0,47800,83,96,90,14,341
2003,Centenary College of La.,LA,IIB,49900.0,38000.0,32400.0,41200,62500.0,46800.0,39600.0,51200,28,20,16,2,66
2004,Dillard University,LA,IIB,49400.0,37300.0,34200.0,35000,56700.0,43700.0,39800.0,40600,8,15,59,10,96
2005,Nicholls State University,LA,IIB,44000.0,36100.0,31600.0,33800,53500.0,43900.0,38500.0,41200,72,67,82,40,286
2006,Grambling State University,LA,IIA,44200.0,39200.0,32900.0,34900,49100.0,43700.0,36900.0,39100,48,48,124,45,265
2007,Louisiana College,LA,IIB,37500.0,32400.0,30800.0,33800,48400.0,42700.0,40100.0,44000,25,13,18,4,60
2008,Louisiana Tech University,LA,IIA,47200.0,40800.0,34400.0,39100,54900.0,49400.0,41800.0,46700,129,93,131,36,389
2010,Louisiana St.Univ.and A&M C.,LA,I,59400.0,43700.0,37900.0,46400,71100.0,52700.0,46100.0,55900,561,387,313,178,1439
2013,Louisiana St.Univ.Shreveport,LA,IIA,45800.0,41400.0,33700.0,38500,53900.0,49800.0,40300.0,45800,53,37,48,18,156
2015,University of New Orleans,LA,IIA,51200.0,37800.0,35200.0,40400,60900.0,45300.0,42300.0,48300,199,128,116,67,510
2016,Loyola University,LA,IIA,59300.0,45100.0,39300.0,47600,72800.0,56000.0,48200.0,58700,77,103,45,2,241
2017,McNeese State University,LA,IIA,45600.0,37400.0,32300.0,36300,55400.0,45800.0,39800.0,44600,76,77,104,33,290
2020,Northeast Louisiana Univ.,LA,IIA,45900.0,37600.0,32500.0,34300,55900.0,45800.0,39600.0,41800,88,102,159,100,449
2021,Northwestern State Univ.,LA,IIA,41800.0,36000.0,31200.0,33500,50000.0,43200.0,37500.0,40300,44,47,98,34,223
2023,Our Lady of Holy Cross Coll.,LA,IIB,52414.45562671546,30600.0,32500.0,31400,65348.7648673376,37800.0,40000.0,38500,1,9,9,6,25
2024,Southeastern Louisiana Univ.,LA,IIA,46800.0,40500.0,32900.0,34800,56600.0,48600.0,39800.0,42100,68,68,163,90,389
2026,Southern Univ.at New Orleans,LA,IIB,40600.0,32900.0,29800.0,32000,48700.0,39700.0,36100.0,38700,23,22,64,11,120
2029,Tulane University,LA,I,71300.0,51400.0,41800.0,56400,87600.0,64600.0,51400.0,69900,172,166,115,3,456
2031,Univ. Southwestern Louisiana,LA,I,53300.0,40900.0,35900.0,40200,63300.0,49300.0,43400.0,48300,147,136,167,98,548
2032,Xavier University of La.,LA,IIA,45900.0,38900.0,33200.0,35200,54600.0,45600.0,38600.0,41300,37,41,91,34,203
9636,Southern Univ.A&M Coll.-Main,LA,IIA,45500.0,39200.0,33600.0,36700,53800.0,46400.0,39800.0,43400,100,88,210,48,446
2115,Amherst College,MA,IIB,72600.0,51600.0,42500.0,61000,91700.0,66100.0,54600.0,77400,87,23,43,0,153
2117,Anna Maria College,MA,IIB,40700.0,36400.0,31800.0,34100,49900.0,47000.0,37700.0,41600,6,9,14,4,33
2118,Assumption College,MA,IIB,47900.0,40000.0,32500.0,38500,61000.0,51800.0,41300.0,49200,22,42,40,3,107
2120,Merrimack College,MA,IIB,50700.0,39300.0,32600.0,39500,65200.0,51800.0,40700.0,51000,24,63,38,0,125
2121,Babson College,MA,IIB,78700.0,61300.0,55700.0,63300,97500.0,76900.0,70000.0,79000,31,45,31,3,119
2124,Bentley College,MA,IIA,71700.0,56600.0,49300.0,57500,89400.0,70800.0,59900.0,71200,48,84,56,10,198
2126,Berklee College of Music,MA,IIB,50400.0,40200.0,32900.0,38100,60500.0,49100.0,40500.0,46600,17,59,61,2,139
2128,Boston College,MA,I,78400.0,56900.0,49600.0,61400,96400.0,71700.0,60400.0,76100,165,245,126,10,556
2132,Bradford College,MA,IIB,44700.0,35200.0,31000.0,34600,55700.0,45000.0,38400.0,43500,9,18,8,6,41
2133,Brandeis University,MA,I,68700.0,49300.0,40300.0,55000,85900.0,61900.0,49600.0,68600,142,71,40,3,299
2139,Clark University,MA,IIA,66400.0,46900.0,39500.0,52200,82200.0,59300.0,48800.0,65100,58,64,38,0,160
2140,Coll.of Our Lady of the Elms,MA,IIB,43100.0,35300.0,30500.0,34200,52400.0,42900.0,37100.0,41500,10,18,19,5,52
2141,College of the Holy Cross,MA,IIB,69500.0,50600.0,40600.0,51900,87500.0,62700.0,50000.0,64400,44,84,54,4,186
2146,Emerson College,MA,IIA,66900.0,50200.0,38600.0,48800,87400.0,65200.0,49400.0,63200,21,33,35,3,92
2153,Gordon College,MA,IIB,43200.0,35200.0,31900.0,38100,57800.0,46700.0,42400.0,50500,35,18,13,5,71
2155,Harvard University,MA,I,100900.0,55900.0,50000.0,79300,123600.0,72300.0,65300.0,98900,654,149,255,8,1172
2158,Lasell College,MA,IIB,52414.45562671546,33600.0,32200.0,32000,65348.7648673376,40300.0,38900.0,38700,3,7,13,4,27
2161,Univ. of Mass. at Lowell,MA,I,66400.0,53900.0,46400.0,58700,80500.0,66200.0,57700.0,71700,223,191,52,10,476
2178,Massachusetts Inst. of Tech.,MA,I,90300.0,63700.0,52800.0,75700,112400.0,80600.0,67800.0,95100,583,177,164,36,989
2183,Bridgewater State College,MA,IIA,51700.0,44000.0,40000.0,46800,67200.0,58300.0,54200.0,61700,144,53,41,17,255
2184,Fitchburg State College,MA,IIA,51200.0,42900.0,39500.0,44400,64400.0,54000.0,50100.0,56000,87,56,70,11,224
2187,North Adams State College,MA,IIB,51000.0,39400.0,36100.0,42800,64200.0,50700.0,46800.0,54600,34,34,21,2,91
2189,Westfield State College,MA,IIA,52300.0,41900.0,37800.0,45700,66200.0,53000.0,47800.0,57800,79,46,44,0,169
2190,Worcester State College,MA,IIA,52800.0,45600.0,37000.0,46300,66900.0,58500.0,48300.0,59300,81,44,30,13,168
2192,Mount Holyoke College,MA,IIB,69400.0,50500.0,40000.0,54100,86600.0,64500.0,49600.0,67800,73,47,51,3,191
2199,Northeastern University,MA,I,68800.0,52500.0,46000.0,54300,88000.0,68900.0,59900.0,70500,236,260,176,0,730
2206,Regis College,MA,IIB,50400.0,42500.0,34500.0,40700,62700.0,54200.0,42600.0,51300,9,20,14,1,46
2208,Simmons College,MA,IIA,58900.0,47100.0,38600.0,47700,72400.0,59200.0,48200.0,59300,54,54,53,6,167
2209,Smith College,MA,IIA,73200.0,51400.0,40500.0,59100,93200.0,64600.0,50200.0,74700,127,70,59,6,262
2210,Univ. of Mass.-Dartmouth,MA,IIA,57200.0,48200.0,42000.0,52600,72200.0,61100.0,53500.0,66500,203,61,32,1,321
2211,Springfield College,MA,IIA,52000.0,40400.0,32100.0,37600,64300.0,50100.0,39900.0,46700,34,45,78,17,174
2217,Stonehill College,MA,IIB,51300.0,42800.0,35400.0,42300,65700.0,54100.0,45800.0,53900,24,56,36,0,116
2218,Suffolk University,MA,IIA,72700.0,54800.0,48400.0,61100,92500.0,70600.0,59900.0,77700,111,73,33,15,232
2219,Tufts University,MA,I,73500.0,54900.0,44700.0,59200,96400.0,71000.0,60700.0,77700,148,157,98,2,405
2221,Univ. Massachussets-Amherst,MA,I,70400.0,53700.0,43800.0,60700,88000.0,68000.0,55700.0,76200,650,306,146,7,1172
2222,Univ. Massachusetts-Boston,MA,IIA,65600.0,54300.0,44500.0,54900,81300.0,67900.0,56300.0,68600,154,186,100,1,473
2224,Wellesley College,MA,IIB,75700.0,55000.0,45300.0,60300,98800.0,71200.0,57000.0,77900,97,44,74,4,222
2226,Western New England College,MA,IIA,65900.0,49700.0,43700.0,54300,82300.0,63200.0,54500.0,68200,54,42,29,6,131
2227,Wheaton College,MA,IIB,60200.0,43500.0,35700.0,48600,74000.0,53900.0,44800.0,60100,44,16,25,6,91
2228,Wheelock College,MA,IIA,54500.0,42000.0,36200.0,41500,66200.0,51800.0,43300.0,50500,8,20,20,1,49
2229,Williams College,MA,IIB,70700.0,50300.0,41700.0,54300,92300.0,66900.0,56600.0,71900,77,36,88,0,213
2233,Worcester Polytechnic Inst.,MA,IIA,65900.0,52700.0,45100.0,54600,84200.0,68000.0,55700.0,69300,75,70,58,4,212
1436,Capitol College,MD,IIB,52414.45562671546,34400.0,35192.70008795075,35200,65348.7648673376,40600.0,44211.257695690416,41600,5,7,5,0,17
2062,Bowie State University,MD,IIA,51000.0,43300.0,34900.0,40100,64700.0,55400.0,45200.0,51500,31,28,51,14,127
2065,College of Notre Dame of Md.,MD,IIB,44300.0,37700.0,30900.0,36200,49300.0,44100.0,36500.0,41900,19,25,29,3,76
2067,Columbia Union College,MD,IIB,30800.0,29700.0,29300.0,29600,34400.0,32900.0,32500.0,32900,17,9,11,5,42
2068,Coppin State College,MD,IIB,55700.0,43500.0,36600.0,43100,70700.0,55900.0,47600.0,55400,26,32,36,4,103
2072,Frostburg State University,MD,IIA,49800.0,42300.0,36600.0,41600,64600.0,53800.0,46800.0,53000,76,56,70,8,228
2073,Goucher College,MD,IIB,52900.0,38700.0,35800.0,41100,66100.0,48900.0,45200.0,51800,21,27,23,4,75
